"Status","Name","DisplayName","BinaryPathName"
"Running","SstpSvc","Secure Socket Tunneling Protocol Service","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"Running","StateRepository","State Repository Service","C:\WINDOWS\system32\svchost.exe -k appmodel -p"
"Running","Steam Client Service","Steam Client Service","""C:\Program Files (x86)\Common Files\Steam\steamservice.exe"" /RunAsService"
"Stopped","StiSvc","Windows Image Acquisition (WIA)","C:\WINDOWS\system32\svchost.exe -k imgsvc"
"Running","StorSvc","Storage Service","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Stopped","svsvc","Spot Verifier","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Stopped","swprv","Microsoft Software Shadow Copy Provider","C:\WINDOWS\System32\svchost.exe -k swprv"
"Running","SysMain","SysMain","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","SystemEventsBroker","System Events Broker","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"Running","TabletInputService","Touch Keyboard and Handwriting Panel Service","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Stopped","TapiSrv","Telephony","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"Running","TeamViewer","TeamViewer","""C:\Program Files (x86)\TeamViewer\TeamViewer_Service.exe"""
"Stopped","TermService","Remote Desktop Services","C:\WINDOWS\System32\svchost.exe -k NetworkService"
"Running","Themes","Themes","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"Stopped","TieringEngineService","Storage Tiers Management","C:\WINDOWS\system32\TieringEngineService.exe"
"Running","TilesServer","TilesServer","C:\ProgramData\TileServer\nssm_64.exe"
"Running","TimeBrokerSvc","Time Broker","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","TokenBroker","Web Account Manager","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Running","TrkWks","Distributed Link Tracking Client","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Stopped","TroubleshootingSvc","Recommended Troubleshooting Service","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Stopped","TrustedInstaller","Windows Modules Installer","C:\WINDOWS\servicing\TrustedInstaller.exe"
"Stopped","tzautoupdate","Auto Time Zone Updater","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"Running","UdkUserSvc_1041c6","UdkUserSvc_1041c6","C:\WINDOWS\system32\svchost.exe -k UdkSvcGroup"
"Stopped","UevAgentService","User Experience Virtualization Service","C:\WINDOWS\system32\AgentService.exe"
"Running","uhssvc","Microsoft Update Health Service","""C:\Program Files\Microsoft Update Health Tools\uhssvc.exe"""
"Stopped","UmRdpService","Remote Desktop Services UserMode Port Redirector","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","UnistoreSvc_1041c6","UnistoreSvc_1041c6","C:\WINDOWS\System32\svchost.exe -k UnistackSvcGroup"
"Stopped","Updater","Updater","""C:\Program Files\Virtual Desktop Streamer\Updater.exe"" /runservice"
"Stopped","upnphost","UPnP Device Host","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"Running","UserDataSvc_1041c6","UserDataSvc_1041c6","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"Running","UserManager","User Manager","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Running","UsoSvc","Update Orchestrator Service","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Stopped","VacSvc","Volumetric Audio Compositor Service","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","VaultSvc","Credential Manager","C:\WINDOWS\system32\lsass.exe"
"Stopped","VBoxSDS","VirtualBox system service","""C:\Program Files\Oracle\VirtualBox\VBoxSDS.exe"""
"Stopped","vds","Virtual Disk","C:\WINDOWS\System32\vds.exe"
"Running","VirtualDesktop.Service.exe","Virtual Desktop Service","""C:\Program Files\Virtual Desktop\VirtualDesktop.Service.exe"""
"Running","VMAuthdService","VMware Authorization Service","""C:\Program Files (x86)\VMware\VMware Workstation\vmware-authd.exe"""
"Running","vmcompute","Hyper-V Host Compute Service","C:\WINDOWS\system32\vmcompute.exe"
"Stopped","vmicguestinterface","Hyper-V Guest Service Interface","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Stopped","vmicheartbeat","Hyper-V Heartbeat Service","C:\WINDOWS\system32\svchost.exe -k ICService -p"
"Stopped","vmickvpexchange","Hyper-V Data Exchange Service","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Stopped","vmicrdv","Hyper-V Remote Desktop Virtualization Service","C:\WINDOWS\system32\svchost.exe -k ICService -p"
"Stopped","vmicshutdown","Hyper-V Guest Shutdown Service","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Stopped","vmictimesync","Hyper-V Time Synchronization Service","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Stopped","vmicvmsession","Hyper-V PowerShell Direct Service","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Stopped","vmicvss","Hyper-V Volume Shadow Copy Requestor","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","vmms","Hyper-V Virtual Machine Management","C:\WINDOWS\system32\vmms.exe"
"Running","VMnetDHCP","VMware DHCP Service","C:\WINDOWS\SysWOW64\vmnetdhcp.exe"
"Running","VMUSBArbService","VMware USB Arbitration Service","""C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe"""
"Running","VMware NAT Service","VMware NAT Service","C:\WINDOWS\SysWOW64\vmnat.exe"
"Running","VMwareHostd","VMware Workstation Server","""C:\Program Files (x86)\VMware\VMware Workstation\vmware-hostd.exe"" -u ""C:\ProgramData\VMware\hostd\config.xml"""
"Stopped","VSS","Volume Shadow Copy","C:\WINDOWS\system32\vssvc.exe"
"Stopped","W32Time","Windows Time","C:\WINDOWS\system32\svchost.exe -k LocalService"
"Stopped","WaaSMedicSvc","Windows Update Medic Service","C:\WINDOWS\system32\svchost.exe -k wusvcs -p"
"Stopped","WalletService","WalletService","C:\WINDOWS\System32\svchost.exe -k appmodel -p"
"Stopped","WarpJITSvc","Warp JIT Service","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted"
"Stopped","wbengine","Block Level Backup Engine Service","""C:\WINDOWS\system32\wbengine.exe"""
"Stopped","WbioSrvc","Windows Biometric Service","C:\WINDOWS\system32\svchost.exe -k WbioSvcGroup"
"Running","Wcmsvc","Windows Connection Manager","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Stopped","wcncsvc","Windows Connect Now - Config Registrar","C:\WINDOWS\System32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"Running","WdiServiceHost","Diagnostic Service Host","C:\WINDOWS\System32\svchost.exe -k LocalService -p"
"Running","WdiSystemHost","Diagnostic System Host","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2202.4-0\NisSrv.exe"""
"Stopped","WebClient","WebClient","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"Stopped","Wecsvc","Windows Event Collector","C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"Stopped","WEPHOSTSVC","Windows Encryption Provider Host Service","C:\WINDOWS\system32\svchost.exe -k WepHostSvcGroup"
"Stopped","wercplsupport","Problem Reports Control Panel Support","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"Stopped","WerSvc","Windows Error Reporting Service","C:\WINDOWS\System32\svchost.exe -k WerSvcGroup"
"Stopped","WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Stopped","WiaRpc","Still Image Acquisition Events","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Running","WinDefend","Microsoft Defender Antivirus Service","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2202.4-0\MsMpEng.exe"""
"Running","WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","Winmgmt","Windows Management Instrumentation","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Stopped","WinRM","Windows Remote Management (WS-Management)","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"Stopped","wisvc","Windows Insider Service","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Running","WlanSvc","WLAN AutoConfig","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Stopped","wlidsvc","Microsoft Account Sign-in Assistant","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Stopped","wlpasvc","Local Profile Assistant Service","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Stopped","WManSvc","Windows Management Service","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Stopped","wmiApSrv","WMI Performance Adapter","C:\WINDOWS\system32\wbem\WmiApSrv.exe"
"Stopped","WMPNetworkSvc","Windows Media Player Network Sharing Service","""C:\Program Files\Windows Media Player\wmpnetwk.exe"""
"Stopped","workfolderssvc","Work Folders","C:\WINDOWS\System32\svchost.exe -k LocalService -p"
"Stopped","WpcMonSvc","Parental Controls","C:\WINDOWS\system32\svchost.exe -k LocalService"
"Stopped","WPDBusEnum","Portable Device Enumerator Service","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted"
"Running","WpnService","Windows Push Notifications System Service","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Running","WpnUserService_1041c6","WpnUserService_1041c6","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"Running","wscsvc","Security Center","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Running","WSearch","Windows Search","C:\WINDOWS\system32\SearchIndexer.exe /Embedding"
"Stopped","wuauserv","Windows Update","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Stopped","WwanSvc","WWAN AutoConfig","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Stopped","XblAuthManager","Xbox Live Auth Manager","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Stopped","XblGameSave","Xbox Live Game Save","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Running","XboxGipSvc","Xbox Accessory Management Service","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Stopped","XboxNetApiSvc","Xbox Live Networking Service","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"Running","ZeroTierOneService","ZeroTier One","C:\ProgramData\ZeroTier\One\zerotier-one_x64.exe"
